Id,SalePrice
1461,121235.55516016086
1462,156537.3651818238
1463,187315.04123323073
1464,199013.02125383128
1465,195811.9384923499
1466,173313.81991978554
1467,176922.56665446586
1468,161263.29837210767
1469,181822.10286797694
1470,121155.59567423993
1471,197392.043572195
1472,95182.28686925925
1473,92658.59844005687
1474,147180.39326775027
1475,110207.59874712364
1476,375393.61416794284
1477,244420.56418540882
1478,278472.38232656824
1479,288936.11542226194
1480,497522.13549872447
1481,313169.27687820105
1482,204371.26097572158
1483,182873.90729523732
1484,162466.44181836137
1485,187987.02976498706
1486,196326.55097000423
1487,350787.7320932931
1488,225219.861330614
1489,200556.90081701454
1490,241663.36058677945
1491,195782.94819098857
1492,92865.7686987434
1493,176030.54974695173
1494,294116.3118824685
1495,293548.83670064475
1496,241019.2308425008
1497,180754.2433820599
1498,167955.9322007455
1499,159347.31944616142
1500,156180.58473819075
1501,175510.96877730376
1502,141968.27871067263
1503,291079.0473100946
1504,241240.99076898894
1505,223925.45690063134
1506,188813.9124258375
1507,255449.84045519397
1508,195416.41333796267
1509,161567.50240021152
1510,145507.3438078551
1511,150476.72834854125
1512,175647.87661318318
1513,150897.8057170126
1514,167981.45961522497
1515,202110.5561870095
1516,152270.74784563298
1517,161777.11364236532
1518,131701.71413012297
1519,210720.14150520277
1520,128762.15207636019
1521,133795.3509247166
1522,175077.6233745564
1523,109868.3037254336
1524,125898.7786423599
1525,119974.67672414205
1526,110929.33680300743
1527,106836.12975404151
1528,135774.05287864426
1529,154653.76040374386
1530,176254.06217715866
1531,111243.3151410851
1532,96540.94158547712
1533,150255.65968981775
1534,125929.13739053537
1535,152169.74592004676
1536,106962.85918740077
1537,55787.628135067156
1538,146607.56856284008
1539,189770.86167739294
1540,93192.86683296751
1541,148993.59672556212
1542,145376.27525679555
1543,203814.1036283648
1544,83802.01571043555
1545,113532.42469995258
1546,135626.28890848337
1547,143375.17226567148
1548,140578.63661402656
1549,117209.08500374871
1550,136800.55072703146
1551,108697.29439852308
1552,142472.62603021527
1553,155206.98743425065
1554,112917.11547923321
1555,160491.36150799322
1556,87984.39171852235
1557,107564.9497624962
1558,99441.52114886638
1559,49472.95844657598
1560,135635.0337296638
1561,136030.92123378188
1562,128906.63269565655
1563,119960.84226369037
1564,156837.45494209602
1565,149026.43983280283
1566,234473.31037102808
1567,75913.16744164555
1568,235020.88775427465
1569,129933.24888110743
1570,133543.9101597417
1571,117786.24622647477
